id,title,source_url,game_type,tags,download_status,uploader,duration,published_at,play_count
BV1RtZmYGEkH,英雄联盟 | 变态五杀集锦,http://www.bilibili.com/video/av114273292456952,LOL,"LOL,五杀,高光,精彩时刻",skipped,真嗣个巴嘎,26:52,2025-04-03T17:43:30+08:00,28197
BV12h4y1o73D,“英雄联盟所有五杀特殊语音台词（全），没有比这更帅的了！”,http://www.bilibili.com/video/av656570112,LOL,"LOL,五杀,高光,精彩时刻",skipped,艾黎ike,12:7,2023-05-27T13:20:29+08:00,2063621
BV1YgKh6bE2M,游戏可以输 五杀不能给,http://www.bilibili.com/video/av116957915515809,LOL,"LOL,五杀,高光,精彩时刻",skipped,王者荣耀赵一,0:46,2026-07-21T20:20:02+08:00,5190
BV1gsxLzkE7F,英雄联盟世界赛五杀TOP10,http://www.bilibili.com/video/av115325542669841,LOL,"LOL,五杀,高光,精彩时刻",skipped,Faker大满贯,8:1,2025-10-06T13:23:56+08:00,58359
BV13e4y1L7oo,派克年度五杀,http://www.bilibili.com/video/av649540826,LOL,"LOL,五杀,高光,精彩时刻",skipped,顾七尘Prime,6:23,2022-12-31T11:45:15+08:00,180924
BV1Z3411r7z8,【王者五杀Top5】女娲：一炮五杀全场安静了，我就是世界法则！,http://www.bilibili.com/video/av421317458,LOL,"LOL,五杀,高光,精彩时刻",skipped,管家加点酱,3:18,2021-10-26T11:28:45+08:00,471781
BV1hx411U7jX,五杀VS五杀 - 无人生还 - 双方同时五杀/团灭集锦,http://www.bilibili.com/video/av10040872,LOL,"LOL,五杀,高光,精彩时刻",skipped,TAKERA,672:7,2017-04-23T15:28:28+08:00,76852
BV1DMK46VEzj,五杀,http://www.bilibili.com/video/av116954325057667,LOL,"LOL,五杀,高光,精彩时刻",skipped,纯爱永远的神qwq,0:59,2026-07-21T05:05:35+08:00,85863
BV1o1421v7fN,五杀中最强的一打五五杀，各大主播的绝世场面,http://www.bilibili.com/video/av1554803328,LOL,"LOL,五杀,高光,精彩时刻",skipped,小花-龙申传媒,11:30,2024-05-21T15:49:17+08:00,1080491
BV1FT411876n,日服的五杀语音真顶啊！,http://www.bilibili.com/video/av485916473,LOL,"LOL,五杀,高光,精彩时刻",skipped,浪灯Wdc,2:29,2023-05-09T15:30:00+08:00,1649371
BV1K3T765E2q,英雄联盟旧版本五杀,http://www.bilibili.com/video/av116848913813813,LOL,"LOL,五杀,高光,精彩时刻",skipped,绝对为一,0:41,2026-07-02T14:16:43+08:00,4070
